순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국.1,전국.2,서울,서울.1,장르,등급,영화구분,OTT,Netflix
562.0,에이티즈 월드 투어 [투워즈 더 라이트 : 윌 투 파워] 인 시네마 ,오윤동,"씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,씨제이포디플렉스 주식회사,2025-05-07,개봉영화,장편,한국,64,"265,397,500","10,616","166,200,000","6,648",공연,전체관람가,일반영화,"Watcha, TVING",False
566.0,헬보이: 크룩드 맨,브라이언 테일러,,주식회사 풍경소리,와이드 릴리즈(주),2024-12-18,개봉영화,장편,미국,131,"87,092,600","10,384","40,621,400","4,854",액션,15세이상관람가,일반영화,TVING,False
567.0,원피스 필름 레드,타니구치 고로,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2022-11-30,개봉영화,장편,일본,550,"100,263,879","10,341","61,268,688","6,043",애니메이션,12세이상관람가,일반영화,"Watcha, TVING",False
579.0,366일,신조 타케히코,,(주)엔케이컨텐츠,(주)디스테이션,2025-06-11,개봉영화,장편,일본,134,"82,879,720","9,120","46,551,300","4,610",멜로/로맨스,12세이상관람가,일반영화,"Netflix, Watcha, Netflix Standard with Ads, TVING",True
581.0,제로베이스원 더 퍼스트 투어 [타임리스 월드] 인 시네마,"오윤동,김하민","씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,씨제이포디플렉스 주식회사,2025-03-12,개봉영화,장편,한국,68,"222,175,000","8,887","144,400,000","5,776",공연,전체관람가,일반영화,TVING,False
582.0,"극장판 뱅드림! 잇츠 마이고!!!!! 후편: 노래하자, 우리가 될 수 있는 노래 & 필름 라이브",카키모토 코다이,,(주)애니플러스,(주)애니플러스,2025-06-19,개봉영화,장편,일본,76,"80,974,400","8,870","41,909,000","4,266",애니메이션,전체관람가,일반영화,Watcha,False
583.0,신 가면라이더,안노 히데아키,,대원미디어(주),(주)블루라벨픽쳐스,2024-04-03,개봉영화,장편,일본,85,"66,643,400","8,865","25,262,900","3,420",액션,12세이상관람가,일반영화,Amazon Prime Video,False
585.0,기적을 믿는 소녀,리처드 코렐,,주식회사 온 피크,홀리가든,2023-07-05,개봉영화,장편,미국,76,"81,510,300","8,804","62,865,800","6,873",드라마,전체관람가,일반영화,"wavve, Watcha, TVING",False
595.0,에스파: 월드 투어 인 시네마,"김하민,오윤동",스크린엑스 스튜디오,,씨제이포디플렉스 주식회사,2024-04-10,개봉영화,장편,한국,90,"186,757,000","8,489","110,220,000","5,010",공연,전체관람가,일반영화,TVING,False
596.0,귀멸의 칼날: 환락의 거리 결전편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,2025-07-18,개봉영화,장편,일본,116,"86,090,100","8,424","21,425,400","2,033",애니메이션,15세이상관람가,일반영화,"Watcha, TVING",False
597.0,코넬의 상자,이현지,(주)지티지그룹,,와이드 릴리즈(주),2025-01-08,개봉영화,장편,한국,54,"44,183,900","8,421","19,190,100","3,624",미스터리,15세이상관람가,일반영화,"Watcha, TVING",False
600.0,샤이닝,스탠리 큐브릭,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2023-06-28,개봉영화,장편,미국,45,"71,236,578","8,325","44,659,984","4,958",공포(호러),청소년관람불가,일반영화,wavve,False
602.0,"레드벨벳 해피니스 다이어리 : 마이 디어, 레베럽 인 시네마","김선형,오윤동","씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,씨제이포디플렉스 주식회사,2025-02-05,개봉영화,장편,한국,72,"207,745,000","8,310","139,820,000","5,593",공연,전체관람가,일반영화,"Netflix, Netflix Standard with Ads, TVING",True
605.0,마에스트로 번스타인,브래들리 쿠퍼,,,씨제이 씨지브이(CJ CGV)(주),2023-12-06,개봉영화,장편,미국,61,"68,153,400","8,182","36,489,900","4,172",드라마,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
607.0,은혼 일국경성편 온 씨어터,후지타 요이치,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,2025-02-14,개봉영화,장편,일본,1,"83,394,600","8,024","57,675,000","5,410",애니메이션,15세이상관람가,일반영화,TVING,False
608.0,극장판 : 기븐_히이라기 믹스,,,스튜디오엘론(주),(주)팝엔터테인먼트,2024-08-28,개봉영화,장편,일본,108,"75,666,228","8,010","39,575,795","3,910",애니메이션,15세이상관람가,일반영화,Watcha,False
609.0,강다니엘: 마이 퍼레이드,박재석,(주)위즈온센,,"씨제이 씨지브이(CJ CGV)(주),(주)위즈온센",2023-08-30,개봉영화,장편,한국,26,"158,654,500","7,933","103,098,000","5,155",공연,전체관람가,일반영화,"wavve, Watcha, TVING",False
610.0,"극장판 뱅드림! 잇츠 마이고!!!!! 전편: 봄의 양지, 방황하는 고양이",카키모토 코다이,,(주)애니플러스,(주)애니플러스,2025-04-24,개봉영화,장편,일본,77,"73,774,700","7,898","36,239,400","3,639",애니메이션,전체관람가,일반영화,Watcha,False
612.0,곰돌이 푸: 피와 꿀,,,(주)퍼스트런,(주)팝엔터테인먼트,2023-04-06,개봉영화,장편,영국,189,"88,613,286","7,792","26,037,606","2,298",공포(호러),청소년관람불가,일반영화,"wavve, Watcha, TVING",False
620.0,빅 볼드 뷰티풀,코고나다,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2025-10-22,개봉영화,장편,미국,208,"66,463,500","7,174","34,723,940","3,663",드라마,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
623.0,신세기 에반게리온 극장판 사도신생,안노 히데아키,,미라지엔터테인먼트,(주)삼백상회,2025-10-31,개봉영화,장편,일본,180,"76,226,700","7,066","22,712,300","2,089",애니메이션,15세이상관람가,일반영화,"Watcha, Netflix Standard with Ads, TVING",False
624.0,케이팝 데몬 헌터스,매기 강,,,씨제이 씨지브이(CJ CGV)(주),2025-10-31,개봉영화,장편,캐나다,143,"82,401,300","7,013","34,899,700","3,050",애니메이션,12세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
