순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
67,앤트맨과 와스프: 퀀텀매니아,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-02-15,개봉영화,장편,미국,"2,090","16,346,738,806","1,551,129","4,870,924,016","434,458",액션,12세이상관람가,일반영화
68,잠,유재선,(주)루이스 픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-06,개봉영화,장편,한국,"1,231","13,817,855,033","1,462,621","3,709,945,927","385,986",미스터리,15세이상관람가,일반영화
69,신의악단,김형협,스튜디오타겟(주),,"씨제이 씨지브이(CJ CGV)(주),씨지브이 픽처스",2025-12-31,개봉영화,장편,한국,522,"13,819,647,730","1,452,210","3,036,683,260","313,487",드라마,15세이상관람가,일반영화
70,외계+인 2부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2024-01-10,개봉영화,장편,한국,"1,390","13,792,326,337","1,430,121","3,321,420,005","330,032",기타,12세이상관람가,일반영화
71,위시,"크리스 벅,폰 비라선손",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-01-03,개봉영화,장편,미국,"1,421","13,379,469,253","1,403,386","3,552,631,510","357,704",애니메이션,전체관람가,일반영화
72,달짝지근해: 7510,이한,(주)무비락,,(주)마인드마크,2023-08-15,개봉영화,장편,한국,884,"13,445,519,901","1,388,309","2,731,589,483","276,799",코미디,12세이상관람가,일반영화
73,마이클,안톤 후쿠아,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2026-05-13,개봉영화,장편,미국,"1,734","15,415,760,130","1,387,931","5,124,450,220","433,765",드라마,12세이상관람가,일반영화
74,A MINECRAFT MOVIE 마인크래프트 무비,자레드 헤스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2025-04-26,개봉영화,장편,미국,"1,450","12,741,589,670","1,358,269","2,434,031,660","243,661",어드벤처,12세이상관람가,일반영화
75,킹 오브 킹스,장성호,(주)모팩스튜디오,,(주)디스테이션,2025-07-16,개봉영화,장편,한국,"1,191","12,410,915,626","1,316,551","3,176,631,620","325,409",애니메이션,전체관람가,일반영화
76,그녀가 죽었다,김세휘,주식회사 엔진필름,,"(주)콘텐츠지오,(주)아티스트스튜디오,(주)무빙픽쳐스컴퍼니",2024-05-15,개봉영화,장편,한국,"1,008","11,805,001,596","1,236,662","2,814,398,902","287,043",미스터리,15세이상관람가,일반영화
77,사랑의 하츄핑,김수훈,(주)에스에이엠지엔터테인먼트,,(주)쇼박스,2024-08-07,개봉영화,장편,한국,"1,159","10,983,756,542","1,228,442","1,709,617,367","182,907",애니메이션,전체관람가,일반영화
78,드림,이병헌,"(주)옥토버시네마,(주)노브레이크필름",,메가박스중앙(주) 플러스엠 엔터테인먼트,2023-04-26,개봉영화,장편,한국,"1,285","10,818,979,597","1,128,080","2,625,066,919","262,784",코미디,12세이상관람가,일반영화
79,얼굴,연상호,주식회사 와우포인트,,메가박스중앙(주) 플러스엠 엔터테인먼트,2025-09-11,개봉영화,장편,한국,985,"11,012,986,870","1,076,611","2,881,599,140","269,791",미스터리,15세이상관람가,일반영화
80,전지적 독자 시점,김병우,리얼라이즈픽쳐스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2025-07-23,개봉영화,장편,한국,"1,581","10,053,493,360","1,061,137","2,628,889,920","265,029",판타지,15세이상관람가,일반영화
81,1947 보스톤,강제규,"(주)비에이엔터테인먼트,(주)빅픽쳐",,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023-09-27,개봉영화,장편,한국,"1,282","9,464,438,798","1,026,929","2,362,398,413","248,627",드라마,12세이상관람가,일반영화
82,비공식작전,김성훈,"(주)와인드업필름,와이낫필름",,(주)쇼박스,2023-08-02,개봉영화,장편,한국,"1,151","9,781,885,404","1,015,453","2,104,228,583","211,335",드라마,12세이상관람가,일반영화
83,히든페이스,김대우,(주)스튜디오앤뉴,,(주)넥스트엔터테인먼트월드(NEW),2024-11-20,개봉영화,장편,한국,"1,072","9,622,029,140","1,014,864","2,559,164,460","262,802",스릴러,청소년관람불가,일반영화
84,댓글부대,안국진,(주)영화적순간,,(주)에이스메이커무비웍스,2024-03-27,개봉영화,장편,한국,"1,228","9,240,359,711","972,991","2,460,815,366","246,286",범죄,15세이상관람가,일반영화
85,극장판 진격의 거인 완결편 더 라스트 어택,하야시 유이치로,,(주)애니플러스,(주)애니플러스,2025-03-13,개봉영화,장편,일본,424,"9,776,272,070","949,711","3,130,935,630","283,764",애니메이션,15세이상관람가,일반영화
86,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,오네 히토시,,(주)씨제이이엔엠,(주)씨제이이엔엠,2023-12-22,개봉영화,장편,일본,883,"9,142,532,236","945,457","1,476,747,912","147,785",애니메이션,전체관람가,일반영화
87,썬더볼츠＊,제이크 슈레이어,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-04-30,개봉영화,장편,미국,"1,274","9,282,314,460","922,453","3,106,646,600","290,593",액션,12세이상관람가,일반영화
88,스파이더맨: 어크로스 더 유니버스,호아킴 도스 산토스,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-06-21,개봉영화,장편,미국,"1,103","9,492,413,667","920,169","3,676,606,424","343,627",애니메이션,전체관람가,일반영화
89,글래디에이터 Ⅱ,리들리 스콧,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2024-11-13,개봉영화,장편,미국,"1,769","8,873,550,140","909,714","2,642,844,080","257,248",액션,청소년관람불가,일반영화
90,혹성탈출: 새로운 시대,웨스 볼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-05-08,개봉영화,장편,미국,"1,184","9,177,184,782","907,155","2,304,034,982","213,685",액션,12세이상관람가,일반영화
91,아쿠아맨과 로스트 킹덤,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2023-12-20,개봉영화,장편,미국,965,"8,990,202,656","878,012","2,359,701,156","218,058",액션,12세이상관람가,일반영화
92,대도시의 사랑법,이언희,"(주)쇼박스,주식회사 고래와 유기농",,메가박스중앙(주) 플러스엠 엔터테인먼트,2024-10-01,개봉영화,장편,한국,869,"8,215,778,030","870,056","2,815,094,270","289,105",드라마,15세이상관람가,일반영화
93,슈퍼맨,제임스 건,,워너브러더스 코리아(주),워너브러더스 코리아(주),2025-07-09,개봉영화,장편,미국,"1,286","8,737,926,810","864,362","2,758,266,840","254,090",액션,12세이상관람가,일반영화
94,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",김혜영,블루파이어스튜디오 주식회사,,(주)바이포엠스튜디오,2025-12-24,개봉영화,장편,한국,868,"8,348,588,090","861,581","1,885,345,350","183,817",멜로/로맨스,12세이상관람가,일반영화
95,인디아나 존스: 운명의 다이얼,제임스 맨골드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-06-28,개봉영화,장편,미국,"1,268","8,503,653,466","860,424","2,210,532,345","211,617",어드벤처,12세이상관람가,일반영화
96,무파사: 라이온 킹,배리 젠킨스,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-12-18,개봉영화,장편,미국,"1,243","8,362,423,310","852,334","2,434,719,030","229,719",애니메이션,전체관람가,일반영화
97,장화신은 고양이: 끝내주는 모험,조엘 크로포드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-01-04,개봉영화,장편,미국,924,"7,872,245,363","831,209","1,765,136,461","178,819",애니메이션,전체관람가,일반영화
98,말할 수 없는 비밀,서유민,(주)하이브미디어코프,,메가박스중앙(주) 플러스엠 엔터테인먼트,2025-01-27,개봉영화,장편,한국,864,"7,859,549,300","824,156","2,436,262,480","241,664",판타지,전체관람가,일반영화
