영화명,영화명_영어,장르,개봉일,극장관객수,극장매출,Netflix,최고순위,TOP10유지일수,1위유지일수
뉴 노멀,New Normal,스릴러,2023-11-08,"101,636","973,948,873",True,5,14,0
귀신 부르는 앱: 영,App the Horror,공포(호러),2026-02-18,"101,537","998,226,700",False,0,0,0
비키퍼,The Beekeeper,액션,2024-04-03,"101,325","945,286,905",True,3,7,0
아마추어,The Amateur,액션,2025-04-09,"96,448","905,461,350",False,0,0,0
명탐정 코난: 세기말의 마술사,Detective Conan: The Last Wizard of the Century,애니메이션,2026-03-27,"96,159","988,135,450",False,0,0,0
화사한 그녀,Miss Fortune,코미디,2023-10-11,"96,146","888,872,900",False,0,0,0
프랑켄슈타인 : 더 뮤지컬 라이브,Frankenstein : The Musical Live,공연,2025-09-18,"93,574","2,303,799,100",False,0,0,0
명탐정 코난: 17년 전의 진상,Detective Conan: The 17-Year-Old Truth,애니메이션,2025-09-19,"89,624","936,247,600",False,0,0,0
더러운 돈에 손대지 마라,Dirty Money,범죄,2024-10-17,"88,272","814,106,280",True,1,42,7
명탐정 코난: 시한장치의 마천루,Detective Conan: The Time Bombed Skyscraper,애니메이션,2024-10-02,"83,105","786,643,290",False,0,0,0
극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,COLORFUL STAGE! The Movie: A Miku Who Can't Sing,애니메이션,2025-05-29,"82,581","776,998,450",False,0,0,0
파벨만스,The Fabelmans,드라마,2023-03-22,"80,767","814,957,157",False,0,0,0
악마들,Devils,액션,2023-07-05,"79,688","798,202,273",True,1,28,7
명탐정 코난: 14번째 표적,Case Closed: The Fourteenth Target,애니메이션,2025-02-14,"79,182","744,149,040",False,0,0,0
직장상사 길들이기,Send Help,스릴러,2026-01-28,"75,760","714,197,500",False,0,0,0
나의 히어로 아카데미아 더 무비: 유어 넥스트,My Hero Academia: You're Next,애니메이션,2024-11-20,"75,305","739,618,100",False,0,0,0
신비아파트 극장판 차원도깨비와 7개의 세계,The Haunted House: The Dimensional Goblin and the Seven Worlds,애니메이션,2022-12-14,"75,109","708,846,095",False,0,0,0
유미의 세포들 더 무비,Yumi's Cells: The Movie,애니메이션,2024-04-03,"73,531","589,527,900",False,0,0,0
젠틀맨,Gentleman,범죄,2022-12-28,"72,160","696,066,848",False,0,0,0
세븐틴 투어 ‘팔로우’ 어게인 투 시네마,SEVENTEEN TOUR 'FOLLOW' AGAIN TO CINEMAS,공연,2024-08-14,"71,448","1,785,890,500",False,0,0,0
시스터,Sister,스릴러,2026-01-28,"70,293","586,044,080",True,1,14,7
나쁜계집애: 달려라 하니,Run Hany Bad Girl,애니메이션,2025-10-07,"69,670","631,144,230",False,0,0,0
바이러스,Virus,드라마,2025-05-07,"68,537","610,906,960",True,3,28,0
귀시,The Cursed: Insatiable Desires,공포(호러),2025-09-17,"68,281","681,253,410",False,0,0,0
도티와 영원의 탑,Dotty and the Tower of Eternity,애니메이션,2023-12-27,"67,840","628,774,015",False,0,0,0
쏘우 X,Saw X,공포(호러),2023-12-13,"65,130","679,602,885",False,0,0,0
우마무스메 프리티 더비 새로운 시대의 문,Umamusume: Pretty Derby - Beginning of a New Era,애니메이션,2024-07-11,"64,725","684,501,192",False,0,0,0
브링 허 백,Bring Her Back,공포(호러),2025-06-06,"64,268","537,796,000",False,0,0,0
머티리얼리스트,Materialists,멜로/로맨스,2025-08-08,"63,628","590,015,500",True,7,7,0
익스펜더블 4,Expend4bles,액션,2023-10-18,"63,178","604,243,589",False,0,0,0
메소드연기,Method Acting,드라마,2026-03-18,"62,639","578,966,130",False,0,0,0
시크릿쥬쥬 마법의 하모니,Secret Jouju Magic Harmony,애니메이션,2025-05-01,"62,103","557,216,160",False,0,0,0
레드 원,Red One,액션,2024-11-06,"60,575","594,041,280",False,0,0,0
컴플리트 언노운,A Complete Unknown,드라마,2025-02-26,"60,363","582,414,630",False,0,0,0
귀신경찰,Thunderstruck Cop,코미디,2025-01-24,"58,631","506,365,800",False,0,0,0
나혼자 프린스,Love Barista,코미디,2025-11-19,"56,198","509,506,310",False,0,0,0
스마일 2,Smile 2,공포(호러),2024-10-16,"56,072","550,694,670",False,0,0,0
바람 따라 만나리 : 김호중의 계절,Along the Wind: The Seasons of Kim Ho Joong,공연,2023-10-18,"56,054","1,259,322,000",False,0,0,0
영화 이상한 과자 가게 전천당,The Supernatural Sweet Shop: The Movie,판타지,2025-02-19,"55,862","472,242,300",False,0,0,0
사운드 오브 프리덤,Sound of Freedom,범죄,2024-02-21,"53,312","578,652,700",False,0,0,0
기동전사 건담 시드 프리덤,Mobile Suit Gundam SEED FREEDOM,애니메이션,2024-04-03,"52,443","555,481,523",False,0,0,0
엘리자벳: 더 뮤지컬 라이브,Elisabeth: The Musical Live,공연,2024-10-16,"49,275","1,205,556,400",False,0,0,0
엘리: 몬스터 패밀리,Elli and her Monster Team,애니메이션,2025-02-14,"49,130","410,995,440",False,0,0,0
아이엠 티라노,I Am T-Rex,애니메이션,2024-03-01,"47,441","398,640,400",False,0,0,0
식스데이즈,6DAYS,드라마,2025-08-13,"46,901","1,027,874,000",False,0,0,0
스픽 노 이블,Speak No Evil,스릴러,2024-09-11,"44,422","436,493,110",True,9,7,0
1980,1980: The Unforgettable Day,드라마,2024-03-27,"43,967","390,918,575",False,0,0,0
"극장판 엉덩이 탐정: 안녕, 나의 영원한 친구","Butt Detective the Movie: Farewell, Oh My Beloved Butty",애니메이션,2024-10-01,"43,270","364,213,500",False,0,0,0
플라이 미 투 더 문,Fly Me to the Moon,멜로/로맨스,2024-07-12,"43,014","400,041,810",False,0,0,0
헬로카봇 올스타 스페셜,Hello Carbot Allstar Special,애니메이션,2024-07-31,"42,965","350,906,100",False,0,0,0
백수아파트,The Noisy Mansion,미스터리,2025-02-26,"42,951","372,938,960",True,7,7,0
데드라인,Deadline,드라마,2024-11-06,"41,198","290,095,500",False,0,0,0
스노우 폭스2: 몬스터타운 구하기,The Puffins & the Magic Portal,애니메이션,2025-04-26,"41,161","332,399,000",False,0,0,0
28년 후: 뼈의 사원,28 Years Later: The Bone Temple,공포(호러),2026-02-27,"40,987","436,763,640",True,3,14,0
쫑알쫑알 똘똘이: 이상한 마을 대모험,쫑알쫑알 똘똘이: 이상한 마을 대모험,애니메이션,2025-04-30,"40,716","373,548,100",False,0,0,0
괴수 8호: 미션 리컨,Kaiju No. 8: Mission Recon,애니메이션,2025-05-07,"40,161","383,347,980",False,0,0,0
키타로 탄생 게게게의 수수께끼,The Birth of Kitaro: The Mystery of GeGeGe,애니메이션,2024-06-12,"39,416","423,164,500",False,0,0,0
극장판 똘똘이: 아기공룡의 비밀,Toritori and the Secret of the Baby Dino,애니메이션,2025-11-07,"38,747","362,605,400",False,0,0,0
킹 오브 프리즘 -유어 엔드리스 콜- 모두 빛나라! 프리즘 투어즈,King of Prism: Your Endless Call - Mi~nna Kirameki! Prism☆Tours,애니메이션,2025-07-18,"38,728","365,038,260",False,0,0,0
씬,The Sin,공포(호러),2024-04-03,"38,225","354,647,735",True,3,21,0
헤레틱,Heretic,스릴러,2025-04-02,"37,934","310,750,900",False,0,0,0
플레인,Plane,액션,2023-03-15,"37,691","345,665,658",False,0,0,0
"부정선거, 신의 작품인가","Korean Election Fraud, God's Will?",다큐멘터리,2025-05-21,"37,008","334,215,920",False,0,0,0
롱디,Long D,멜로/로맨스,2023-05-10,"35,916","302,830,500",False,0,0,0
구원자,The Favor,미스터리,2025-11-05,"33,874","299,546,310",True,5,14,0
몬스터 하우스2: 인비져블 피닉스,Finnick,애니메이션,2023-02-02,"33,671","294,228,222",False,0,0,0
고트: 더 레전드,GOAT,애니메이션,2026-04-17,"33,377","293,042,080",True,10,7,0
100 미터.,100 METERS,애니메이션,2025-10-08,"33,308","290,841,000",False,0,0,0
극장판 파워 디지몬 더 비기닝,Digimon Adventure 02: The Beginning,애니메이션,2023-11-29,"33,280","322,378,200",False,0,0,0
엔드 오브 에반게리온,Neon Genesis Evangelion: The End of Evangelion,애니메이션,2024-01-17,"32,712","333,888,336",False,0,0,0
네가 떨어뜨린 푸른 하늘,The Blue Skies at Your Feet,멜로/로맨스,2023-02-08,"32,116","308,030,509",False,0,0,0
731,731,드라마,2026-01-21,"32,102","297,593,100",False,0,0,0
빌리와 용감한 녀석들: 스노우 베어 구조대,Little Eggs: A Frozen Rescue,애니메이션,2024-11-07,"32,067","239,603,940",False,0,0,0
이매지너리,Imaginary,공포(호러),2024-08-28,"31,778","254,251,100",False,0,0,0
비투비 타임 : 비투게더 더 무비,BTOB TIME: Be Together the Movie,공연,2023-11-15,"31,412","628,174,500",False,0,0,0
프리키 프라이데이 2,Freakier Friday,코미디,2025-08-27,"31,122","286,117,250",False,0,0,0
극장판 닌자보이 란타로: 도쿠타케 닌자대 최강의 군사,Nintama Rantarō: Invincible Master of the Dokutake Ninja,애니메이션,2025-05-14,"30,800","289,623,580",False,0,0,0
극장판 호빵맨: 세균맨과 그림책의 루룬,Let's Go! Anpanman: Baikinman and Lulun,애니메이션,2026-05-23,"30,336","251,618,350",False,0,0,0
메리 마이 데드 바디,Marry My Dead Body,코미디,2023-05-17,"30,333","346,701,400",False,0,0,0
신비아파트 특별편: 붉은 눈의 사신,Shinbi's Haunted House Special: The Red-Eyed Grim Reaper,애니메이션,2024-08-14,"30,329","361,512,500",False,0,0,0
테일러 스위프트 디 에라스 투어,TAYLOR SWIFT | THE ERAS TOUR,공연,2023-11-03,"30,232","839,042,500",False,0,0,0
중간계,Run to the West,액션,2025-10-15,"28,355","178,620,100",True,1,35,14
슈퍼 엘프: 빨간모자 비밀요정,The Super Elfkins,애니메이션,2025-01-15,"28,325","180,645,200",False,0,0,0
나를 모르는 그녀의 세계에서,My Beloved Stranger,멜로/로맨스,2025-05-22,"27,888","252,789,600",False,0,0,0
여귀교- 저주를 부르는 게임,The Bridge Curse: Ritual,공포(호러),2023-11-15,"27,703","252,570,027",False,0,0,0
괴담만찬,Tastes of Horror,공포(호러),2023-10-18,"27,389","220,853,620",False,0,0,0
이상한 집,A Strange House,스릴러,2025-07-17,"27,007","247,223,500",False,0,0,0
미스터 로봇,Mr.Robot,애니메이션,2025-04-04,"26,408","215,817,900",False,0,0,0
사채소년,Usury Academy,액션,2023-11-22,"26,149","193,797,300",True,1,21,7
돌핀보이,Dolphin Boy,애니메이션,2023-01-25,"25,387","226,353,600",False,0,0,0
엔시티 네이션 : 투 더 월드 인 시네마,NCT NATION: To the World in Cinemas,공연,2023-12-06,"25,140","555,399,000",False,0,0,0
